City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
298,Erzin,TR,36.9559,36.2,61.7,51,17,1.72,few clouds
299,Maridi,SS,4.9158,29.4742,73.13,70,100,3.09,light rain
300,Umm Lajj,SA,25.0213,37.2685,79.93,31,14,0.6,few clouds
301,Alugan,PH,12.2188,125.4808,81.01,78,94,11.36,heavy intensity rain
302,Santa Cruz,BO,-17.8,-63.1667,71.06,68,40,5.75,scattered clouds
303,Hohhot,CN,40.8106,111.6522,37.69,38,0,2.24,clear sky
304,Brae,GB,60.3964,-1.353,40.39,89,100,15.32,overcast clouds
305,Naze,JP,28.3667,129.4833,58.12,73,100,15.3,light rain
306,Luderitz,NA,-26.6481,15.1594,58.21,85,0,10.58,clear sky
307,Mokhsogollokh,RU,61.4681,128.9203,21.78,88,100,2.44,overcast clouds
308,Terrace Bay,CA,48.7834,-87.1,31.14,98,100,3.6,overcast clouds
309,Parabel,RU,58.6978,81.4825,11.93,96,100,5.01,overcast clouds
310,Asosa,ET,10.0667,34.5333,75.47,18,100,2.42,overcast clouds
311,Semey,KZ,50.4111,80.2275,30.42,100,0,4.47,clear sky
312,Sartell,US,45.6216,-94.2069,38.98,63,33,11.01,scattered clouds
313,Cidreira,BR,-30.1811,-50.2056,70.56,77,2,19.55,clear sky
314,Bayir,TR,37.2687,28.2167,41.52,57,1,2.91,clear sky
315,Deyang,CN,31.1302,104.382,56.62,74,100,3.27,overcast clouds
316,Sorland,NO,67.667,12.6934,33.28,68,100,28.68,light snow
317,Fare,PF,-16.7,-151.0167,82.29,75,81,7.63,broken clouds
318,Tres Arroyos,AR,-38.3739,-60.2798,60.85,47,0,18.1,clear sky
319,Yagodnoye,RU,62.55,149.6667,3.81,81,100,1.97,overcast clouds
320,Awbari,LY,26.5921,12.7805,69.8,20,0,5.21,clear sky
321,Mpigi,UG,0.225,32.3136,68.81,92,100,2.93,light rain
322,San Cristobal,VE,7.7669,-72.225,75.38,75,56,2.62,broken clouds
323,Tezpur,IN,26.6333,92.8,71.94,77,74,5.53,broken clouds
324,Honningsvag,NO,70.9821,25.9704,29.95,80,100,19.57,overcast clouds
325,Emba,KZ,48.8264,58.1442,40.32,80,100,9.08,overcast clouds
326,Okha,RU,53.5739,142.9478,32.22,92,10,6.44,clear sky
327,Tandalti,SD,13.0167,31.8667,82.38,18,5,10.22,clear sky
328,Rockhampton,AU,-23.3833,150.5,84.09,54,40,11.5,scattered clouds
329,Ekangala,ZA,-25.6962,28.7492,64.29,64,34,11.3,scattered clouds
330,Matara,LK,5.9485,80.5353,76.39,86,12,1.23,few clouds
331,Manga,BF,11.6636,-1.0731,87.33,41,100,9.48,overcast clouds
332,Matadi,CD,-5.8167,13.45,76.3,97,100,3.27,light rain
333,Pareora,NZ,-44.4871,171.2132,61.18,91,54,5.93,broken clouds
334,Calbuco,CL,-41.768,-73.1273,47.41,76,100,7.38,light rain
335,Effingham,US,32.3669,-81.3332,63.05,89,100,4.56,overcast clouds
